,club,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments
96,Tijuana,638.0,,835.0,,,762.0,784.0,,,,,,,,,,,,,,,,,,,,
97,Morecambe,631.0,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Almería,625.0,,716.0,,,,,,,,,,,,,,,,,,,,,,,,
99,Fulham,623.0,832.0,653.0,701.0,681.0,1079.0,1657.0,1952.0,2431.0,1953.0,1204.0,892.0,,,,,,,,,,,,,,,
100,Utrecht,,806.0,650.0,990.0,704.0,772.0,891.0,,,,,,,,,,,,,,,,,,,,
101,Phoenix Rising FC,,800.0,780.0,,,,,,,,,514.0,,,,,,,,,,,,,,,
102,Bristol City,,738.0,,,,,,,,849.0,575.0,639.0,,,,,,,,,,,,,,,
103,Bosnia-Herzegovina,,713.0,735.0,,,,,,,,,,,,,,,,,,,,,,,,
104,Peru,,712.0,878.0,768.0,1042.0,947.0,1281.0,4547.0,3479.0,1079.0,577.0,,,,,,,,,837.0,1615.0,,,,,,
105,Hannover 96,,665.0,,,,,,,,,,,,,,,,,,,,,,,,,
106,América,,628.0,1461.0,,,,,,,,,,,,,,,,,,,,,,,,
107,FC Santa Claus,,601.0,829.0,,,726.0,,,,,,,,,,,,,,,,,,,,,
108,Poland,,593.0,632.0,642.0,805.0,1216.0,1045.0,6532.0,4628.0,763.0,921.0,1254.0,664.0,684.0,,793.0,851.0,716.0,,,,,,,,,
109,Atlanta United FC,,580.0,749.0,1038.0,1060.0,1398.0,937.0,2626.0,3725.0,1188.0,852.0,780.0,,,,,,,,,,,,,,,
110,Huddersfield Town,,580.0,,559.0,,,999.0,,,,599.0,,,,,,,,,,,,,,,,
111,Chile,,,2171.0,837.0,663.0,,,1833.0,2171.0,,,,,,,,,,,,,,,,,,
112,Chivas,,,1080.0,511.0,733.0,,,,,,,,,,,,,,,,,,,,,,
113,Universidad de Chile,,,976.0,,,,,,,,,,,,,,,,,,,,,,,,
114,Pumas,,,771.0,,,,,,,,,,,,,,,,,,,,,,,,
115,LA Galaxy,,,750.0,556.0,,,,1550.0,1750.0,,,,,,,,,,,,,,,,,,
116,Melbourne Victory,,,703.0,,,,,,,,,,,,,,,,,,,,,,,,
117,Iran,,,673.0,,,,,4652.0,1589.0,,,,,,,,,,,,,,,,,,
118,Omonoia Nicosia,,,656.0,,,,,,,,,,,,,,,,,,,,,,,,
119,Olympique de Marseille,,,619.0,804.0,882.0,1122.0,1130.0,,2243.0,740.0,1031.0,656.0,,,,,,,,,,,,,,,
120,New England Revolution,,,614.0,,,681.0,,,1496.0,,,,,,,,,,,,,,,,,,
121,Wolves,,,,1417.0,976.0,1986.0,1496.0,2811.0,2390.0,2807.0,2189.0,1489.0,517.0,,818.0,712.0,,,,,,,,,,,
122,Somalia,,,,1154.0,877.0,,719.0,1545.0,,,,,,,,,,,,,,,,,,,
123,Belgium,,,,839.0,1040.0,936.0,2693.0,10536.0,13815.0,1208.0,1002.0,1083.0,,,,,,,,,,,,,,,
124,Chattanooga FC,,,,795.0,,,,,,,,529.0,,,,,,,,,,,,,,,
125,Sweden,,,,640.0,629.0,697.0,,6074.0,7184.0,711.0,1058.0,841.0,,,,,,,,,,,,,,,
126,Lazio,,,,582.0,739.0,1093.0,,,,,,,,,,,,,,,,,,,,,
127,São Paulo,,,,581.0,838.0,,986.0,1792.0,2875.0,906.0,824.0,609.0,,531.0,646.0,914.0,,,,,1184.0,677.0,,,,,
128,Iceland,,,,545.0,,,,3289.0,1677.0,,,,,,,,,,,,,,,,,,
129,IFK Göteborg,,,,538.0,,,,,,,,,,,,,,,,,,,,,,,
130,Northern Ireland,,,,535.0,,,801.0,1736.0,,,,,,,,,,,,,,,,,,,
131,Los Angeles FC,,,,529.0,,,,,,,,,,,,,,,,,,,,,,,
132,Walsall,,,,,1162.0,1569.0,890.0,,,,,,,,,,,,,,,,,,,,
133,Metz,,,,,946.0,,,,,,,,,,,,,,,,,,,,,,
134,San Jose Earthquakes,,,,,736.0,828.0,,,,836.0,558.0,532.0,,,,,,,,,,,,,,,
135,Torquay United,,,,,710.0,833.0,789.0,,,,,,,,,,,,,,,,,,,,
136,Club Brugge,,,,,694.0,,,,,,,,,,,,,,,,,,,,,,
137,Scotland,,,,,686.0,,,1535.0,1886.0,791.0,700.0,699.0,,,,,,,,,,,,,,,
138,Corinthians,,,,,647.0,,,,2050.0,,,,,,,,,,,,,,,,,,
139,RB Leipzig,,,,,642.0,660.0,981.0,,,,,,,,,,,,,,,,,,,,
140,Chicken Inn,,,,,631.0,,,,,,,,,,,,,,,,,,,,,,
141,Denmark,,,,,623.0,960.0,1222.0,4597.0,3174.0,882.0,1094.0,,,,,,,,,,,,,,,,
142,Bohemians,,,,,608.0,,,,,,,,513.0,503.0,,,,,,,,,,,,,
143,Macclesfield Town,,,,,,1014.0,1145.0,,,793.0,,,,,,,,,,,,,,,,,
144,Bromley,,,,,,876.0,1974.0,,,,,,,,,,,,,,,,,,,,
145,Marine,,,,,,818.0,,,1542.0,1802.0,782.0,,,,,,,,,,,,,,,,
146,New York City FC,,,,,,694.0,,,,,,,,,,,,,,,,,,,,,
147,South Korea,,,,,,669.0,,4475.0,4493.0,,898.0,,,,,,,,,,,,,,,,
148,Preston North End,,,,,,649.0,,,,,,,,,,,,,,,,,,,,,
149,Ipswich Town,,,,,,,761.0,,,920.0,1025.0,,,,,,,,,,,,,,,,
150,Egypt,,,,,,,758.0,2491.0,1640.0,,,,,,,,,,,,,,,,,,
151,Bolton Wanderers,,,,,,,757.0,,,,,,,,,,,,,,,,,,,,
152,Cercle Brugge,,,,,,,729.0,,,,,,,,,,,,,,,,,,,,
153,Morocco,,,,,,,721.0,4030.0,2177.0,,,,,,,,,,,,,,,,,,
154,Croatia,,,,,,,,7923.0,12685.0,1436.0,1556.0,1088.0,,,,,,,,,,,,,,,
155,Russia,,,,,,,,3367.0,2413.0,,,,,,,,,,,,,,,,,,
156,Uruguay,,,,,,,,2968.0,2814.0,,,,,,,,,,,,,,,,,,
157,Japan,,,,,,,,2855.0,2843.0,,,,,,,,,,,,,,,,,,
158,Switzerland,,,,,,,,2385.0,1685.0,,,,,,,,,,,,,,,,,,
159,Legia Warszawa,,,,,,,,2222.0,,,,,,,,,,,,,,,,,,,
160,Serbia,,,,,,,,2151.0,,,,,,,,,,,,,,,,,,,
161,Canada,,,,,,,,1623.0,1757.0,,,,,,,,,,,,,,,,,,
162,Costa Rica,,,,,,,,1541.0,,,,,,,,,,,,,,,,,,,
163,India,,,,,,,,1524.0,,,,,,,,,,,,,,,,,,,
164,Orlando City,,,,,,,,,1408.0,,,,,,,,,,,,,,,,,,
165,DC United,,,,,,,,,,1021.0,,632.0,,,,,,,,,,,,,,,
166,Fenerbahçe,,,,,,,,,,965.0,777.0,,,,,,,,,,,,,,,,
167,New York Red Bulls,,,,,,,,,,721.0,,,,,,,,,,,,,,,,,
168,Burnley,,,,,,,,,,715.0,,,,,,,,,,,,,,,,,
169,CSKA Moskva,,,,,,,,,,604.0,558.0,614.0,,,,,,,,,,,,,,,
170,Crvena Zvezda,,,,,,,,,,,858.0,,,,,,,,,,,,,,,,
